# Simulation 2 (Up to date),,,,,,,,,,,,,,vlookup value due max AoA,0,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 456 data points written for 54 variables.,,,,,,,,,,,,,,powered flight max,8.753,0.000178,19.121,3.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Tiempo (s),Altitud (m),Velocidad vertical (m/s),Aceleración vertical (m/s²),Velocidad total (m/s),Aceleración total (m/s²),Posición al este del lanzamiento (m),Posición al norte del lanzamiento (m),Distancia lateral (m),Dirección lateral (°),Velocidad horizontal (m/s),Aceleración horizontal (m/s²),Latitud (°),Longitud (°),Aceleración gravitacional (m/s²),Ángulo de ataque (°),Tasa de rotación (°/s),Tasa de cabeceo (°/s),Tasa de guiñada (°/s),Masa (g),Masa del propulsor (g),Momento de inercia longitudinal (kg·m²),Momento de inercia rotacional (kg·m²),Situación del CP (cm),Situación del CG (cm),Margen de estabilidad en Calibres (​),Número Mach (​),Número de Reynolds (​),Empuje (N),Fuerza de rozamiento (N),Coeficiente de rozamiento (​),Coeficiente de rozamiento axial (​),Coeficiente de rozamiento por fricción (​),Presión del Coeficiente de rozamiento (​),Coeficiente de rozamiento base (​),Coeficiente de rozamiento normal (​),Coeficiente del momento del cabeceo (​),Coeficiente del momento de guiñada (​),Coeficiente de la fuerza lateral (​),Coeficiente del momento de rotación (​),Coeficiente de la fuerza de rotación (​),Coeficiente de amortiguación de la rotación (​),Coeficiente de amortiguación del cabeceo (​),Aceleración Coriolis (m/s²),Longitud de referencia  (cm),Área de referencia (cm²),Orientación vertical (zenit) (°),Orientación lateral (azimut) (°),Velocidad del viento (m/s),Temperatura del aire (°C),Presión del aire (mbar),Velocidad del sonido (m/s),Intervalos de tiempo en la Simulación (s),Cálculo del tiempo (s)
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,2.60E-04,0.052,5.204,0.052,5.204,0,0,0,0,0,0,20,-103.6,9.782,88.895,0,0,0,3434.213,553.981,0.171,0.004,NaN,63.338,NaN,0.008,1.80E+05,51.467,2.01E-07,0.573,1.02E-05,0.395,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.13E-06,8,50.265,90,0,2.697,6.225,861.516,335.071,0.01,0.001
0.02,0.003,0.404,35.192,0.404,35.192,0,0,0,0,0,0,20,-103.6,9.782,81.549,0,0,0,3433.122,552.89,0.171,0.004,NaN,63.33,NaN,0.008,1.84E+05,154.402,8.59E-05,0.572,0.004,0.393,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.54E-05,8,50.265,90,0,2.718,6.225,861.515,335.071,0.01,0.001
0.03,0.01,1.056,65.198,1.056,65.198,0,0,0,0,0,0,20,-103.6,9.782,68.924,0,0,0,3432.031,551.799,0.17,0.004,NaN,63.323,NaN,0.009,1.96E+05,257.336,0.001,0.566,0.055,0.387,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.45E-04,8,50.265,90,0,2.739,6.225,861.515,335.071,0.01,0.002
# Event LIFTOFF occurred at t=0.04 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04,0.025,2.008,95.222,2.008,95.222,0,0,0,0,0,0,20,-103.6,9.782,53.971,0,0,0,3430.94,550.707,0.17,0.004,NaN,63.315,NaN,0.01,2.28E+05,360.27,0.007,0.552,0.217,0.374,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.75E-04,8,50.265,90,0,2.761,6.225,861.513,335.071,0.01,0.002
0.05,0.051,3.143,113.52,3.143,113.52,0,0,0,0,0,0,20,-103.6,9.782,41.513,0,0,0,3428.805,548.573,0.17,0.004,NaN,63.299,NaN,0.013,2.80E+05,422.797,0.019,0.535,0.409,0.356,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.31E-04,8,50.265,90,0,2.782,6.225,861.51,335.071,0.01,0.002
0.06,0.088,4.289,114.664,4.289,114.664,0,0,0,0,0,0,20,-103.6,9.782,32.412,0,0,0,3426.554,546.322,0.17,0.004,NaN,63.283,NaN,0.015,3.39E+05,426.459,0.038,0.52,0.542,0.341,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.88E-04,8,50.265,90,0,2.723,6.224,861.506,335.071,0.01,0.002
0.07,0.137,5.445,115.663,5.445,115.663,0,0,0,0,0,0,20,-103.6,9.782,26.075,0,0,0,3424.303,544.071,0.17,0.004,NaN,63.267,NaN,0.018,4.05E+05,429.621,0.06,0.507,0.608,0.328,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.46E-04,8,50.265,90,0,2.665,6.224,861.501,335.071,0.01,0.003
0.08,0.197,6.611,116.662,6.611,116.662,0,0,0,0,0,0,20,-103.6,9.782,21.513,0,0,0,3422.052,541.82,0.17,0.004,NaN,63.251,NaN,0.021,4.75E+05,432.784,0.086,0.496,0.631,0.317,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.06E-04,8,50.265,90,0,2.606,6.224,861.495,335.07,0.01,0.003
0.09,0.269,7.788,117.661,7.788,117.661,0,0,0,0,0,0,20,-103.6,9.782,18.114,0,0,0,3419.801,539.569,0.17,0.004,NaN,63.234,NaN,0.024,5.47E+05,435.947,0.115,0.487,0.632,0.308,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,8,50.265,90,0,2.548,6.223,861.487,335.07,0.01,0.003
