# Simulation 1 (Up to date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 448 data points written for 54 variables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,2.60E-04,0.052,5.194,0.052,5.194,0,0,0,0,0,0,28.61,-80.6,9.792,88.525,0,0,0,3434.213,553.981,0.171,0.004,NaN,63.338,NaN,0.006,1.50E+05,51.467,3.13E-07,0.591,2.50E-05,0.413,0.058,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.65E-06,8,50.265,90,0,2.017,15,1013.25,340.389,0.01,0.002
0.02,0.003,0.404,35.182,0.404,35.182,0,0,0,0,0,0,28.61,-80.6,9.792,78.793,0,0,0,3433.122,552.89,0.171,0.004,NaN,63.33,NaN,0.006,1.54E+05,154.402,1.30E-04,0.588,0.01,0.41,0.058,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.17E-05,8,50.265,90,0,2.037,15,1013.25,340.389,0.01,0.003
0.03,0.01,1.055,65.188,1.055,65.188,0,0,0,0,0,0,28.61,-80.6,9.792,62.85,0,0,0,3432.031,551.799,0.17,0.004,NaN,63.323,NaN,0.007,1.72E+05,257.336,0.002,0.578,0.111,0.399,0.058,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.35E-04,8,50.265,90,0,2.058,15,1013.249,340.389,0.01,0.003
# Event LIFTOFF occurred at t=0.04 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04,0.025,2.007,95.212,2.007,95.212,0,0,0,0,0,0,28.61,-80.6,9.792,46.002,0,0,0,3430.94,550.707,0.17,0.004,NaN,63.315,NaN,0.008,2.15E+05,360.27,0.009,0.557,0.348,0.379,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.57E-04,8,50.265,90,0,2.079,15,1013.247,340.389,0.01,0.004
0.05,0.051,3.142,113.508,3.142,113.508,0,0,0,0,0,0,28.61,-80.6,9.792,33.752,0,0,0,3428.805,548.573,0.17,0.004,NaN,63.299,NaN,0.011,2.81E+05,422.797,0.024,0.535,0.537,0.356,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.02E-04,8,50.265,90,0,2.1,15,1013.244,340.389,0.01,0.005
0.06,0.088,4.288,114.652,4.288,114.652,0,0,0,0,0,0,28.61,-80.6,9.792,26.154,0,0,0,3426.554,546.322,0.17,0.004,NaN,63.283,NaN,0.014,3.55E+05,426.459,0.043,0.517,0.618,0.338,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.49E-04,8,50.265,90,0,2.106,14.999,1013.24,340.389,0.01,0.005
0.07,0.137,5.444,115.651,5.444,115.651,0,0,0,0,0,0,28.61,-80.6,9.792,21.201,0,0,0,3424.303,544.071,0.17,0.004,NaN,63.267,NaN,0.017,4.34E+05,429.621,0.067,0.502,0.641,0.323,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.97E-04,8,50.265,90,0,2.112,14.999,1013.234,340.388,0.01,0.006
0.08,0.197,6.61,116.649,6.61,116.649,0,0,0,0,0,0,28.61,-80.6,9.792,17.766,0,0,0,3422.052,541.82,0.17,0.004,NaN,63.251,NaN,0.02,5.16E+05,432.784,0.095,0.491,0.637,0.312,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.46E-04,8,50.265,90,0,2.118,14.999,1013.227,340.388,0.01,0.006
0.09,0.269,7.787,117.649,7.787,117.649,0,0,0,0,0,0,28.61,-80.6,9.792,15.259,0,0,0,3419.801,539.569,0.17,0.004,NaN,63.234,NaN,0.024,6.00E+05,435.947,0.125,0.481,0.621,0.302,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.97E-04,8,50.265,90,0,2.124,14.998,1013.218,340.388,0.01,0.007
